# 6EMA02 solar-system snapshot, epoch 2026-09-01 00:00 (TDB), solar-system barycentric, ecliptic J2000; outer planets = planetary-system barycenters with system masses
# id  name  mass_kg  x_m  y_m  z_m  vx_m/s  vy_m/s  vz_m/s   (masses = GM/G with G = 6.6743015e-11)
      10       Sun   1.988409424446e+30  -2.137448561159e+08  -7.797530659967e+08   1.473927542690e+07   1.068186232384e+01   3.974867240282e+00  -2.234000058527e-01
     199   Mercury   3.300999894895e+23  -5.618328495553e+10   5.664720552194e+09   5.674735017356e+09  -1.568384694087e+04  -4.629970642753e+04  -2.344898884991e+03
     299     Venus   4.867304720951e+24   6.368630127115e+10  -8.887295484408e+10  -4.882528048294e+09   2.812532306032e+04   2.044388226848e+04  -1.341582034259e+03
     399     Earth   5.972167056523e+24   1.399996433143e+11  -5.679555324763e+10   1.691840965372e+07   1.058422296536e+04   2.754418612248e+04  -2.567766698064e+00
     301      Moon   7.345787519488e+22   1.403409372992e+11  -5.663611359371e+10   4.559178274242e+07   1.011175127039e+04   2.847011548486e+04   4.875870814812e+01
     499      Mars   6.416907546355e+23   7.762422195995e+10   2.128487560226e+11   2.583003841885e+09  -2.183565329754e+04   1.035929759771e+04   7.524680280365e+02
       5   Jupiter   1.898517232103e+27  -4.959937759503e+11   6.173502191982e+11   8.539424504689e+09  -1.034223720717e+04  -7.567856471476e+03   2.628644798552e+02
       6    Saturn   5.684577605881e+26   1.390797963949e+12   2.389436989422e+11  -5.953087395315e+10  -2.166044041273e+03   9.499037350154e+03  -7.896167951051e+01
       7    Uranus   8.681891880371e+25   1.351617513207e+12   2.575234275839e+12  -7.946331500154e+09  -6.080122730338e+03   2.847403680176e+03   8.933839419550e+01
       8   Neptune   1.024306004243e+26   4.464169186659e+12   1.915412425466e+11  -1.068258007072e+11  -2.687341971289e+02   5.462509973717e+03  -1.062983372841e+02
       9     Pluto   1.461576166435e+22   2.974355932382e+12  -4.399211383817e+12  -3.896182250598e+11   4.657525602876e+03   1.829434624854e+03  -1.542989410679e+03
   99942   Apophis   0.000000000000e+00  -1.131465476154e+11  -8.917779914274e+10   2.062821467222e+09   2.244477885711e+04  -1.956518350928e+04   1.574761263083e+03
